,Name,Type of Pilot,Score,Status ,Instagram,Youtube
0,Marc Abbott,BDRA PILOTS,640,Can't Find Contact,,
1,Saul Irving,BDRA PILOTS,555,Can't Find Contact,https://www.instagram.com/saul_fpv/,https://www.youtube.com/channel/UCapsyD1JqiPENEpqW7Pp7Zw?view_as=subscriber
2,Alex Kubrak,BDRA PILOTS,510,Already Contacted,https://www.instagram.com/ak_fpv/,https://www.youtube.com/channel/UCpoLzSpOr-gEIu9chLXLiEQ
3,Matthew Neale,BDRA PILOTS,499,Can't Find Contact,,
4,John Resch,BDRA PILOTS,454,Can't Find Contact,,
5,Scott Barrett,BDRA PILOTS,433,Can't Find Contact,,
6,Rhys Barber,BDRA PILOTS,387,Can't Find Contact,,
7,Derek Maben,BDRA PILOTS,363,Can't Find Contact,,
8,John Knight,BDRA PILOTS,354,Not Contacted,https://instagram.com/silverfox_fpv,
9,Jiri Dokoupil,BDRA PILOTS,316,Can't Find Contact,,https://www.youtube.com/playlist?list=PLNeauhgAL5IpMfLovhFlxfw_vlhCjqqJv
10,Jake Reeves,BDRA PILOTS,286,Not Contacted,https://www.instagram.com/reevolution_fpv/,https://www.youtube.com/channel/UCGgkWxfAlYkyNsJDcQm4Hbg
11,Leigh Elwell,BDRA PILOTS,272,Can't Find Contact,,https://www.youtube.com/channel/UCWptC50AHZ7CKDInm8Of0Mg/
12,Michael Bellingham,BDRA PILOTS,270,Can't Find Contact,,
13,Rich Gunstone,BDRA PILOTS,264,Can't Find Contact,,https://www.youtube.com/channel/UCgYqjFUNpsQpESDuCibXckA
14,Edward Dalton,BDRA PILOTS,244,Contacted,https://instagram.com/steath_fpv?igshid=YmMyMTA2M2Y=,https://youtube.com/@Steath_FPV
15,Joe Wilson,BDRA PILOTS,231,Can't Find Contact,,
16,Zeon Hutton,BDRA PILOTS,224,Can't Find Contact,,
17,Duncan Gabriel,BDRA PILOTS,219,Can't Find Contact,,
18,Sean Boulton,BDRA PILOTS,215,Can't Find Contact,,
19,Kyle Mose-Baker,BDRA PILOTS,206,Can't Find Contact,,
20,Phil John-boy,BDRA PILOTS,200,Can't Find Contact,,
21,Adrian Simpson,BDRA PILOTS,191,Can't Find Contact,,
22,Graeme Wood,BDRA PILOTS,173,Can't Find Contact,,
23,Harry Holmes,BDRA PILOTS,165,Contacted,https://www.instagram.com/holmsiefpv/,https://www.youtube.com/channel/UC5ViExfEKsdiYfzmdLqwPFw
24,Josh Gottesman,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UC-daXEUpiGdGpaiSgqonTMg
25,Karl Payne,BDRA PILOTS,160,Contacted,https://www.instagram.com/kpv_uk/,https://www.youtube.com/channel/UChkw1RIQcVbIc5UvvDcvIDQ
26,Joe Watkiss,BDRA PILOTS,160,Can't Find Contact,,
27,Joshy Stevens,BDRA PILOTS,160,Can't Find Contact,,
28,David Catt,BDRA PILOTS,160,Not Contacted,https://www.instagram.com/all_the_goodvibes/,https://www.youtube.com/c/xgoodvibesx
29,Scott Blood,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UCniLt1stI7F3KaE2RqXzFbg
30,Owen Knight,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UC5E_eq-1jcRKZjfiDYUs7rA
31,Steve Rhodes,BDRA PILOTS,160,Can't Find Contact,,
32,Dan Stevens,BDRA PILOTS,160,Contacted,https://instagram.com/xo_fpv?igshid=NTc4MTIwNjQ2YQ==,
33,Lewis Boateng,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UCuP2n2a46VsmLVh3BBdWzZQ
34,PAUL WALDIN,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UCzuIaRP-4lvb0b2htrqmreA
35,Mark Hale,BDRA PILOTS,160,Can't Find Contact,,
36,Will Annison,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UCukz727OyqPv_ACnRf7KniQ?
37,Mark Burrows,BDRA PILOTS,160,Can't Find Contact,,
38,Tom Mundy,BDRA PILOTS,160,Not Contacted,https://www.instagram.com/p13ftw/,https://www.youtube.com/user/tommundy
39,Mervyn Van Vuuren,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/@batmanfpv7516
40,nico turner,BDRA PILOTS,160,Not Contacted,https://instagram.com/nicoturnervideos/,
41,James Hull,BDRA PILOTS,160,Not Contacted,https://www.instagram.com/rcmaniac98/,https://www.youtube.com/channel/UCpoPBwlEaqS5sKFodmfmvQg
42,Nigel Ross,BDRA PILOTS,160,Can't Find Contact,,
43,Andrew Dickinson,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UCdTK2cHzL6v17bC0tgMg3BA
44,Robin Haswell,BDRA PILOTS,160,Can't Find Contact,,
45,Tom Pittson,BDRA PILOTS,160,Can't Find Contact,,
46,Vaughn Jones,BDRA PILOTS,160,Can't Find Contact,,https://www.youtube.com/channel/UCCEqBC41Vqu-WLUsR8dfouw
47,John Parry,BDRA PILOTS,160,Can't Find Contact,,
48,Tilden Martin,BDRA PILOTS,160,Can't Find Contact,,
49,Ben Jeeves,BDRA PILOTS,160,Can't Find Contact,,
