,Name,Real_Name,Type of Pilot,Status ,Instagram,Facebook,Youtube
0,Djan Braverick,Javier De Juan Bravo,DCL ,Can't Find Contact,https://www.instagram.com/djan_braverick_fpv/,,
1,gabriprince,Gabriele Principe,DCL ,Not Contacted,https://www.instagram.com/_gabrieleprincipe_/,,
2,VinagresFPV,Jordi Picó Filgueira,DCL ,Contacted ,https://www.instagram.com/jordi_94fpv/,,
3,KEEPY_FPV,Jordy Peek,DCL ,Contacted ,https://www.instagram.com/keepy_fpv/,https://www.facebook.com/jordy.peek.5/,https://www.youtube.com/keepyfpv
4,LazyDay,Kevin Marshall,DCL ,Contacted ,https://www.instagram.com/lazyday_fpv,,
5,MikroMecanee,Miguel Fernández Meca,DCL ,Not Contacted,https://www.instagram.com/mikrofpv/,,
6,Roo,Susan Smith,DCL ,Contacted ,https://www.instagram.com/roo_fpv/,https://www.facebook.com/susan.smith.9440,https://www.youtube.com/roofpv
7,Doruk FPV,Doruk Cengiz,DCL ,Contacted ,https://www.instagram.com/dorukfpv/,,https://www.youtube.com/@dorukfpv
8,Kenrickfpv,Kenrick Suyanto Lin,DCL ,Not Contacted,https://www.instagram.com/kenrickfpv/,,
9,IonFPV,Krutharth MC,DCL ,Contacted ,https://www.instagram.com/ionfpv_/,,
10,Cryson,Lukas Böhm,DCL ,Already Contacted,https://www.instagram.com/crysonfpv/,,
11,Cr3at0rGamer,Lukas Rau,DCL ,Contacted ,https://www.instagram.com/lukas_rau1/,,
12,DuoNa FPV,Sheng Yi Ran,DCL ,Can't Find Contact,,,
13,CloneNo1,James Govey,DCL ,Contacted ,https://www.instagram.com/LegoCloneNo1/,,https://www.youtube.com/@CloneNo1
14,gMan,Max Heiligman,DCL ,Not Contacted,https://www.instagram.com/fpvgman/,,https://www.youtube.com/@gmanfpv
15,JBox,Joaquin Ybanez,DCL ,Contacted ,https://www.instagram.com/jboxfpv/,,https://www.youtube.com/channel/UCmdMb6eYacmXTmb3Kv_8trQ
16,Baraktal,Tal Segev,DCL ,Not Contacted,https://www.instagram.com/baraktalfpv/,,https://www.youtube.com/@baraktal9198
17,THEICECHEETAH,Chesley Wick,DCL ,Not Contacted,https://www.instagram.com/theicecheetah/,,https://www.youtube.com/@theicecheetah2401
18,Paco,Charles Rinfret,DCL ,Contacted ,https://www.instagram.com/thepacofpv/,https://www.facebook.com/thepacofpv,
19,Bambi,Bambi Bamford,DCL ,Contacted ,https://www.instagram.com/BambiTakesFlight/,,https://www.youtube.com/@bambitakesflight7345
20,Astronaut,David Kaufman,DCL ,Contacted ,https://www.instagram.com/astronautfpv/,,https://www.youtube.com/@astronautfpv6574
21,ZionFPV,Zachary Ruschak,DCL ,Contacted ,https://www.instagram.com/zionfpv_official/,,https://www.youtube.com/channel/UCaVxIixGj_aItPzhgmLlnkA
22,Soziapath,Pit Nestle,DCL ,Not Contacted,https://www.instagram.com/cyclonedroneracing/,,
23,superspiro,Alexander Hristianov Daskalov,DCL ,Contacted ,https://www.instagram.com/superspiro_fpv/,,
24,Vizzy,David Mclittle,DCL ,Contacted ,https://www.instagram.com/vizziy/,,https://www.youtube.com/channel/UCs5_lpCO36T-6hU2QLdck7w
25,ZOOM,Vadim Dzema,DCL ,Not Contacted,https://instagram.com/vadim_dzema,https://www.facebook.com/profile.php?id=100023746780646&mibextid=ZbWKwL,
26,FlowCelly,Marcel Sowiak,DCL ,Not Contacted,https://www.instagram.com/flowcelly/,https://www.facebook.com/FlowCelly,https://www.youtube.com/@FlowCelly
27,Dragony,Mattias Gysin,DCL ,Not Contacted,https://www.instagram.com/dragony_fpv/,,
28,Mr.Bogey,Mladen Atanasov Bogoev,DCL ,Not Contacted,https://www.instagram.com/mr.bogey_fpv/,,https://www.youtube.com/@mrbogeyfpv
29,Rockerguy,Sean Murren,DCL ,Not Contacted,https://www.instagram.com/rockerguy_fpv/,,https://www.youtube.com/channel/UCD3XWnw9IqLY9Kic-fN3pmQ
30,StDuck,Stefan Datsik,DCL ,Contacted ,https://www.instagram.com/stduckfpv/,,https://www.youtube.com/channel/UCQhYJ1dwV-PTNvnmmDcCu5Q
31,Chuggakva,Jakob Holshagen,DCL ,Contacted ,https://www.instagram.com/FPV_Chuggy/,,
32,Holdox_FPV,Erik Holden,DCL ,Contacted ,https://www.instagram.com/holdox_fpv/,https://www.facebook.com/HoldoxFPV,https://www.youtube.com/@HoldoxFPV
33,Snowyeti,Even Braaten,DCL ,Contacted ,https://www.instagram.com/snowyeti_fpv/,,https://www.youtube.com/@evenbraaten5312
34,Puray,Haakon Gingstad Pedersen,DCL ,Not Contacted,https://www.instagram.com/puray_fpv/,,https://www.youtube.com/channel/UCaawDXd44YRrb8ReSP36GpA
35,Smelandfpv,Håvard Smeland,DCL ,Not Contacted,https://www.instagram.com/havenairborne/,,
36,Nido_FPV,Odin Øie Eid,DCL ,Not Contacted,https://www.instagram.com/nidofpv/,,https://www.youtube.com/@nido_fpv3503
37,SPooK,Thomas Haga,DCL ,Not Contacted,,https://www.facebook.com/thomashaga,
38,Fireduck,Tom Idland,DCL ,Not Contacted,https://www.instagram.com/fireduck_fpv/,,https://www.youtube.com/@fireduckfpv
39,Mako Reactra,Ryan Lindsay Lessard,DCL ,Already Contacted,https://www.instagram.com/makoreactra/,https://www.facebook.com/ryanlindsay05/,https://www.youtube.com/@MakoReactra/
40,StephFPV,Stephanie Chao,DCL ,Contacted ,https://www.instagram.com/steph.fpv/,https://www.facebook.com/stephfpv,https://www.youtube.com/StephFPV
41,Natahova,Natalie Astakhova,DCL ,Contacted ,https://www.instagram.com/natahova,https://www.facebook.com/natahovaa,
42,LaBeba,Leslie Camarena,DCL ,Not Contacted,https://www.instagram.com/labeba.fpv/,https://www.facebook.com/leslie.lee.9461799,
43,Hologram,Ksenia Mosina,DCL ,Contacted ,https://instagram.com/hologram_fpv?igshid=NDk5N2NlZjQ=,https://www.facebook.com/ksenya.mossina?mibextid=ZbWKwL,https://www.youtube.com/channel/UCy0HWoUhyn9GoUi8_OFOKDw
44,MaiOnHigh,Lexie Janson,DCL ,Contacted ,https://www.instagram.com/maionhigh,https://www.facebook.com/maionhigh,https://www.youtube.com/maionhigh
45,MOGA FPV,Gaeyon Mo,DCL ,Contacted ,https://www.instagram.com/moga_fpv/,https://www.facebook.com/profile.php?id=100027731990225,https://www.youtube.com/channel/UCa5ij-RIMuUI5F7AjuzuXWQ
46,TRILLY FPV,Heverlein Carreiro,DCL ,Contacted ,https://instagram.com/trillyfpv?igshid=YmMyMTA2M2Y=,https://www.facebook.com/thevyhe,
47,Proximo,Colin Rountree,DCL ,Not Contacted,https://www.instagram.com/proximofpv/,,https://www.youtube.com/@ProximoFPV
